title,author,publisher,supplier,category_1,category_2,category_3,original_price,discount_price,discount_percent,rating,rating_count,sold_count,sold_count_numeric,publish_year,language,page_count,weight,dimensions,url,url_img,time_collect
Test Book Time Collect,Test Author,Test Publisher,Nhà Xuất Bản Kim Đồng,Sách trong nước,Văn học,Tiểu thuyết,150000.0,120000.0,20.0,4.5,100,500+ đã bán,500,2024,Tiếng Việt,300,0.4,20.5 x 14.5 x 2 cm,https://test-url-time-collect.com,https://test-image.jpg,2025-10-13 19:43:41
Sách Test 1,Tác giả 1,NXB Test,Nhà Xuất Bản Kim Đồng,Sách trong nước,Văn học,Tiểu thuyết,100000.0,80000.0,20.0,4.0,100,100+ đã bán,100,2022,Tiếng Việt,200,0.3,20 x 14 x 2 cm,https://test-book-1.com,https://test-image-1.jpg,2025-10-13 19:44:52
Sách Test 2,Tác giả 2,NXB Test,Nhà Xuất Bản Kim Đồng,Sách trong nước,Văn học,Tiểu thuyết,110000.0,88000.0,20.0,4.2,150,200+ đã bán,200,2023,Tiếng Việt,250,0.4,20 x 14 x 2 cm,https://test-book-2.com,https://test-image-2.jpg,2025-10-13 19:44:52
Sách Test 3,Tác giả 3,NXB Test,Nhà Xuất Bản Kim Đồng,Sách trong nước,Văn học,Tiểu thuyết,120000.0,96000.0,20.0,4.4,200,300+ đã bán,300,2024,Tiếng Việt,300,0.5,20 x 14 x 2 cm,https://test-book-3.com,https://test-image-3.jpg,2025-10-13 19:44:52
Nhà Giả Kim,Paulo Coelho,NXB Hội Nhà Văn,Nhà Xuất Bản Hội Nhà Văn,Sách trong nước,Văn học,Tiểu thuyết,89000.0,67000.0,25.0,4.6,1250,2000+ đã bán,2000,2020,Tiếng Việt,227,0.3,20.5 x 14.5 x 1.5 cm,https://www.fahasa.com/nha-gia-kim,https://cdn0.fahasa.com/media/catalog/product/n/h/nha-gia-kim.jpg,2025-10-13 19:48:06
Đắc Nhân Tâm,Dale Carnegie,NXB Tổng Hợp TP.HCM,First News,Sách trong nước,Kỹ năng sống,Tâm lý học,86000.0,65000.0,24.0,4.7,1800,5000+ đã bán,5000,2019,Tiếng Việt,320,0.4,20.5 x 14.5 x 2 cm,https://www.fahasa.com/dac-nhan-tam,https://cdn0.fahasa.com/media/catalog/product/d/a/dac-nhan-tam.jpg,2025-10-13 19:48:06
Bác Hồ Viết Tuyên Ngôn Độc Lập - Ấn Bản Kỉ Niệm 80 Năm Quốc Khánh - Tặng Kèm Postcard - Độc Quyền Fahasa,Kiều Mai Sơn,NXB Văn học,Fahasa,Sách trong nước,Công nghệ,LỊCH SỬ - ĐỊA LÝ - TÔN...,75000.0,75000.0,0.0,3.8,90,Đã bán 1306,1306,2020,Tiếng Việt,197,1.8,24 x 16 cm,https://www.fahasa.com/bac-ho-viet-tuyen-ngon-doc-lap-an-ban-ki-niem-80-nam-quoc-khanh-tang-kem-postcard-doc-quyen-fahasa.html?fhs_campaign=CATEGORY,,2025-10-13 19:50:32
Mưa Đỏ,Chu Lai,NXB Trẻ,Nhã Nam,Sách trong nước,Lịch sử,VĂN HỌC,184500.0,184500.0,0.0,4.5,161,Đã bán 583,583,2022,Tiếng Việt,320,2.2,19 x 13 cm,https://www.fahasa.com/mua-do-643343.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/m/u/muado.jpg,2025-10-13 19:50:37
Bộ Toán 12 - Tập 2 (Chân Trời) (Chuẩn),Nhiều Tác Giả,NXB Trẻ,1980 Books,Sách trong nước,Công nghệ,GIÁO KHOA - THAM KHẢO,14000.0,14000.0,0.0,4.1,20,Đã bán 1158,1158,2021,Tiếng Việt,150,2.2,20.5 x 14 cm,https://www.fahasa.com/toan-12-tap-2-chan-troi-chuan.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/9/7/9786040393357.jpg,2025-10-13 19:50:41
Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa,Sơn Tùng,NXB Thế giới,AZ Việt Nam,Sách trong nước,Lịch sử,THIẾU NHI,10000.0,10000.0,0.0,4.7,473,Đã bán 1560,1560,2023,Tiếng Việt,338,0.4,24 x 16 cm,https://www.fahasa.com/bup-sen-xanh-bia-cung-tang-kem-obi-postcard-hanh-trinh-cuu-nuoc-doc-quyen-fahasa.html?fhs_campaign=CATEGORY,https://cdn1.fahasa.com/media/catalog/product/u/n/untitled-7.jpg,2025-10-13 19:50:46
